"ID","MJD","mag","magerr","RA","Dec"
1132002072568,53709.1552265044,16.000575,0.0664071742200506,5.68579,33.82598
1132002072568,53709.1611103588,15.980927,0.0661834612639285,5.68583,33.82592
1132002072568,53709.1669998844,16.04501,0.0669026958806959,5.68576,33.82592
1132002072568,53709.172876447,16.012409,0.0665131723559581,5.6858,33.82595
1132002072568,53735.1250755787,15.13582,0.0590752875436553,5.68582,33.82594
1132002072568,53735.1314835302,15.177875,0.060253523359578,5.68579,33.82596
1132002072568,53735.1378940395,15.157359,0.0604719167847283,5.68582,33.82594
1132002072568,53735.1443171646,15.171906,0.0601831054170206,5.68585,33.82593
1132002072568,53537.3839047686,16.000685,0.0689667625154813,5.68577,33.82597
1132002072568,53537.3899394446,15.98894,0.0685798508582456,5.68578,33.82599
1132002072568,53537.3958996991,16.013367,0.0687998932590332,5.68577,33.82596
1132002072568,53537.4018809027,16.001753,0.0685412134645731,5.68578,33.82604
1132002072568,53676.253337523,15.926612,0.0691692531528262,5.68581,33.82599
1132002072568,53676.2597497571,15.939364,0.0693121321523068,5.68581,33.82596
1132002072568,53676.2663074886,15.976896,0.0670688718221163,5.68583,33.826
1132002072568,53676.2727432293,15.993968,0.0679471323459501,5.68582,33.82596
1132002072568,53684.1602509953,15.72734,0.0642043178592901,5.68578,33.82595
1132002072568,53684.1670946297,15.732991,0.0642407447529504,5.68582,33.82596
1132002072568,53684.1738967015,15.740621,0.064257305087232,5.68581,33.82597
1132002072568,53684.1807836229,15.73799,0.06419441502762,5.68577,33.82594
1132002072568,53695.1642921413,16.03723,0.0670776137937178,5.68583,33.82597
1132002072568,53695.1708587846,16.061536,0.0673603946171058,5.68579,33.82593
1132002072568,53695.1773903589,16.044694,0.0671865417176893,5.68578,33.82596
1132002072568,53695.1839053817,16.075295,0.0675388896697875,5.68579,33.82599
1132002072568,53657.1795357522,15.544123,0.0635983360425202,5.68581,33.82582
1132002072568,53657.1848472455,15.556868,0.0637083506230417,5.68572,33.82599
1132002072568,53657.1901553818,15.602813,0.0641094244310393,5.68577,33.82599
1132002072568,53657.195450081,15.613093,0.064248566419494,5.68582,33.82592
1132002072568,53668.1831529979,15.998472,0.0667199807490793,5.68587,33.82601
1132002072568,53668.1917762267,16.019302,0.0669548057744533,5.68582,33.82595
1132002072568,53668.2004171643,15.983105,0.0665297055780401,5.68572,33.82596
1132002072568,53668.2090219907,15.981657,0.0665070623384916,5.68581,33.82595
1132002072568,53642.2428938192,15.804314,0.0661760359919678,5.6858,33.82595
1132002072568,53642.2494493518,15.825377,0.0663506037430509,5.6858,33.82597
1132002072568,53642.2559750229,15.823784,0.0662815522303257,5.6858,33.82599
1132002072568,53642.2624672456,15.845614,0.0664709014826799,5.68577,33.82596
1132002072568,54085.1441961806,15.690622,0.06283459562999,5.68579,33.82597
1132002072568,54085.1532295025,15.616457,0.062483162094953,5.68584,33.82595
1132002072568,54085.1621446414,15.517596,0.0613689574984954,5.68583,33.82596
1132002072568,54085.1709967014,15.388506,0.0603999396460155,5.68581,33.82595
1132002072568,53768.1118163774,15.64598,0.0635230037169312,5.68579,33.82597
1132002072568,53768.1169446413,15.648841,0.0635825932231288,5.68582,33.82595
1132002072568,53768.1219020602,15.667108,0.0638299880906137,5.68579,33.82601
1132002072568,53768.1267290395,15.676358,0.0639333629980846,5.6858,33.82597
1132002072568,53902.4486481598,15.726933,0.108176799160619,5.68584,33.82599
1132002072568,53902.4496612963,15.74354,0.108653388666588,5.68586,33.82594
1132002072568,53902.4507006946,15.761364,0.109739468380625,5.68582,33.82606
1132002072568,53902.4517304859,15.747004,0.108939428470362,5.68571,33.82597
1132002072568,54055.1741672339,15.616545,0.0604919021534979,5.68581,33.82594
1132002072568,54055.1857363311,15.591247,0.060297985847983,5.6858,33.82592
1132002072568,54055.197339456,15.609952,0.0604163356483892,5.68584,33.82592
1132002072568,54055.2089834376,15.621792,0.0605397879458546,5.6858,33.82595
1132002072568,54061.1769071757,15.759699,0.0631196367998232,5.68578,33.82596
1132002072568,54061.1864979281,15.72575,0.0627899999088639,5.68582,33.8259
1132002072568,54061.1961267591,15.771498,0.0632671369051881,5.6858,33.82596
1132002072568,54061.2057231828,15.776027,0.0633129580075854,5.68578,33.82591
1132002072568,54010.2990290974,16.0364,0.0660347114459145,5.68577,33.82592
1132002072568,54010.3074353011,16.036393,0.0660500188532935,5.6857,33.82596
1132002072568,54010.3158702198,16.126448,0.0671320949405014,5.68576,33.826
1132002072568,54010.3242973727,16.061398,0.0664191540308458,5.68581,33.82592
1132002072568,54031.2597584953,16.007992,0.0654879835223263,5.68577,33.82593
1132002072568,54031.2684130902,15.992854,0.0653358393671441,5.68585,33.82597
1132002072568,54031.2771351738,16.023208,0.0656716638722539,5.68579,33.82601
1132002072568,54031.2858269215,15.987159,0.0652744429566472,5.68581,33.82595
1132002072568,54037.2184427083,16.161253,0.0670492826456368,5.68578,33.82596
1132002072568,54037.2263132292,16.129041,0.0666861580067795,5.68579,33.82597
1132002072568,54037.2332083681,16.141892,0.0668215709365411,5.68581,33.82596
1132002072568,54037.2398562729,16.176828,0.0682105699335697,5.68582,33.82595
1132002072568,53997.2714426853,15.989472,0.0652195314438456,5.68578,33.82595
1132002072568,53997.2819699422,15.993011,0.0652386661752658,5.68581,33.82597
1132002072568,53997.2925417591,15.996903,0.0652736463546182,5.68578,33.82595
1132002072568,53997.3031411343,16.026919,0.0655958699020212,5.68578,33.82596
1132002072568,54003.2278752201,16.024047,0.0657341456112101,5.68576,33.82594
1132002072568,54003.2360446067,16.007574,0.0655760445499173,5.68578,33.82592
1132002072568,54003.2442001044,16.014659,0.0656147050465372,5.68583,33.82597
1132002072568,54003.2523587267,16.002363,0.0654767473343917,5.68577,33.82595
1132002072568,54452.139356331,15.759545,0.063240900674032,5.68582,33.82599
1132002072568,54452.1458280673,15.764208,0.0632933943166752,5.68581,33.82598
1132002072568,54452.1523300116,15.742364,0.0631165796893518,5.6858,33.82596
1132002072568,54452.1588658681,15.806655,0.0637280210947723,5.68577,33.82599
1132002072568,54299.3819553936,15.902752,0.0666523296841929,5.68584,33.82592
1132002072568,54299.3884009724,15.865154,0.0661902118170524,5.68572,33.82593
1132002072568,54299.3948362386,15.912213,0.0666247829609793,5.68579,33.82589
1132002072568,54299.4050937039,15.936386,0.067351584267446,5.6858,33.82589
1132002072568,54407.3096307407,15.147414,0.0612103005929086,5.68585,33.82594
1132002072568,54407.3150966435,15.108179,0.0609218295595756,5.68583,33.82595
1132002072568,54407.3205384605,15.083393,0.0607475586289717,5.68583,33.82594
1132002072568,54407.3259593288,15.09191,0.0608551615842743,5.68582,33.82593
1132002072568,54417.2233262616,15.842671,0.0640782232698427,5.68582,33.82598
1132002072568,54417.2304486111,15.884281,0.0644785301171086,5.68583,33.82597
1132002072568,54417.2375882058,15.883054,0.064491776391797,5.68577,33.82598
1132002072568,54417.2447214234,15.881393,0.0645336387951921,5.68582,33.82594
1132002072568,54423.081431678,15.870032,0.064628720688795,5.68582,33.82595
1132002072568,54423.1010585763,15.959929,0.0658117761201254,5.68569,33.82596
1132002072568,54382.2396811689,15.891828,0.0648366133005153,5.68582,33.82593
1132002072568,54382.2473937036,15.89637,0.0649194520247627,5.68585,33.82593
1132002072568,54382.2550801965,15.897653,0.0648913676030189,5.68581,33.82595
1132002072568,54382.2628016435,15.920162,0.0651164941777273,5.68582,33.82596
1132002072568,54389.1614086228,15.913224,0.0649475943544901,5.68574,33.82592
1132002072568,54389.177570648,15.737056,0.0632174119559991,5.68583,33.82599
1132002072568,54394.1892339466,15.995962,0.0658567073422085,5.68581,33.82591
1132002072568,54394.2000574074,16.001816,0.0658390750935101,5.68574,33.82595
1132002072568,54394.2108558565,16.018587,0.0660147738385853,5.68579,33.82603
1132002072568,54394.2216847572,15.993942,0.0657473793771485,5.68582,33.826
1132002072568,54358.2414631597,15.647077,0.0631574901978233,5.68585,33.82593
1132002072568,54358.2480012151,15.646873,0.0631295246200226,5.6858,33.82594
1132002072568,54358.2611423843,15.526653,0.0619950061046695,5.6858,33.82593
1132002072568,54504.0941521525,16.150832,0.0681272132078514,5.68578,33.82605
1132002072568,54504.0995268403,16.107525,0.0676416872438732,5.68582,33.826
1132002072568,54504.1049222453,16.100126,0.0675931450281235,5.68583,33.82603
1132002072568,54504.1102971644,16.076044,0.067294253898721,5.68587,33.82598
1132002072568,54508.0877846528,15.711566,0.0682227068753973,5.68579,33.82606
1132002072568,54508.0987975925,15.698589,0.068083661677764,5.68582,33.82599
1132002072568,54508.1047596877,15.725268,0.0685196907041635,5.6858,33.82603
1132002072568,54508.1107117247,15.743417,0.0688615322177163,5.68578,33.82602
1132002072568,54480.1274352199,15.700315,0.0630183456555236,5.68586,33.82599
1132002072568,54480.1324404399,15.700456,0.0630684437219075,5.68577,33.82597
1132002072568,54480.1374165048,15.703233,0.0631238254833512,5.68575,33.82591
