"ID","MJD","mag","magerr","RA","Dec"
1138076066536,53561.2464618054,14.252863,0.0548150414139875,264.83097,38.55566
1138076066536,53561.2521183333,14.248329,0.0548168885555082,264.83095,38.55567
1138076066536,53561.2577583101,14.251352,0.0548406143323567,264.83096,38.55565
1138076066536,53561.2633920373,14.236749,0.0547746441395057,264.83101,38.55565
1138076066536,53526.397240845,14.223927,0.0546200508418654,264.83098,38.55565
1138076066536,53526.4069384374,14.206846,0.0545663081318663,264.83099,38.55564
1138076066536,53526.4166948265,14.228092,0.0546567806550156,264.83099,38.55564
1138076066536,53526.426481308,14.245226,0.0546076451260178,264.83096,38.55564
1138076066536,53534.3146477547,14.322917,0.0549413931754447,264.83098,38.55564
1138076066536,53534.3232389237,14.315917,0.0549149575254736,264.83098,38.55565
1138076066536,53534.3316489467,14.295426,0.0548354238845299,264.83098,38.55563
1138076066536,53534.3399624308,14.271653,0.0547435841503438,264.83098,38.55565
1138076066536,53675.0756728239,14.267983,0.0548841454432947,264.83096,38.55567
1138076066536,53675.0799693288,14.255885,0.0548422105577304,264.831,38.55564
1138076066536,53675.0844938657,14.243226,0.0548078023586742,264.83102,38.55563
1138076066536,53675.0887980093,14.234122,0.0547879334384793,264.83096,38.55565
1138076066536,53694.0776303471,14.225697,0.0549133069209414,264.831,38.55566
1138076066536,53694.0808195137,14.225427,0.054936701501336,264.83096,38.55564
1138076066536,53694.0842162152,14.253527,0.0550639651064563,264.831,38.55568
1138076066536,53694.0876942822,14.252245,0.0550665305296813,264.83095,38.55565
1138076066536,53644.1364198844,14.2534,0.0551481770245423,264.83099,38.55565
1138076066536,53644.1429864238,14.235432,0.0549557203918403,264.83096,38.55564
1138076066536,53644.1495142938,14.24535,0.0551396434595542,264.83099,38.55567
1138076066536,53644.1560559375,14.249541,0.0551742429095195,264.83097,38.55567
1138076066536,53656.1610068632,14.297265,0.0556257825230092,264.83097,38.55566
1138076066536,53656.1663317825,14.278002,0.0555764070693187,264.83101,38.55565
1138076066536,53656.1716430439,14.267239,0.0555584948824507,264.83095,38.55567
1138076066536,53656.1769435415,14.280212,0.0556428316819745,264.831,38.55567
1138076066536,53669.096221088,14.253695,0.0548897176451247,264.83096,38.55568
1138076066536,53669.1004950232,14.220673,0.0547714500775772,264.83098,38.55566
1138076066536,53669.1047615511,14.216231,0.0547617015208856,264.83098,38.55564
1138076066536,53669.1090409374,14.217123,0.0547755843851606,264.83095,38.55565
1138076066536,53627.1455359026,14.518575,0.0572716506922622,264.83127,38.55571
1138076066536,53627.1525642593,14.259962,0.0559999318152427,264.83096,38.55563
1138076066536,53627.1595834722,14.38761,0.0566064510450929,264.83119,38.55567
1138076066536,53627.1665771063,14.267626,0.0560384580420527,264.83097,38.55564
1138076066536,53833.4530935763,14.272363,0.0549932061722555,264.83096,38.55564
1138076066536,53833.459605359,14.253611,0.0549215309873724,264.83096,38.55566
1138076066536,53833.4662928474,14.26697,0.0551575429503301,264.83094,38.55564
1138076066536,53833.4730634373,14.235942,0.0553851929814723,264.83095,38.55564
1138076066536,53848.4040637384,14.261432,0.0549258683355185,264.83096,38.55563
1138076066536,53848.4150922918,14.284635,0.0550000455640728,264.83097,38.55565
1138076066536,53848.4264849885,14.312805,0.0550920316436281,264.83096,38.55565
1138076066536,53848.4384258678,14.317533,0.055114083491908,264.83096,38.55565
