"ID","MJD","mag","magerr","RA","Dec"
1107082043943,53466.3694003238,19.484716,0.208094312092766,231.59465,7.31168
1107082043943,53466.3785196412,19.289152,0.18942851218428,231.59466,7.31163
1107082043943,53466.3876125696,19.11493,0.174546553959902,231.59486,7.31155
1107082043943,53466.3967373264,19.650149,0.226232906300456,231.59471,7.31164
1107082043943,53480.3600569214,19.675563,0.234004269389522,231.59496,7.3117
1107082043943,53554.2579417131,18.815056,0.163973149652201,231.59479,7.31159
1107082043943,53554.2645385647,19.773708,0.263220993039566,231.59474,7.31168
1107082043943,53554.2711115857,19.435396,0.221675431628892,231.5949,7.31164
1107082043943,53554.2776382985,19.642844,0.247517213256143,231.59488,7.31152
1107082043943,53560.2599784839,19.490106,0.221530480937756,231.59461,7.31161
1107082043943,53560.2675617361,19.137793,0.187444613481359,231.59477,7.31136
1107082043943,53560.2751065511,18.946435,0.171895415756161,231.59466,7.31166
1107082043943,53560.2826029975,18.939052,0.171841062826722,231.59496,7.31176
1107082043943,53528.2934204396,20.511494,0.375011186745483,231.59491,7.31149
1107082043943,53528.3097776156,19.309756,0.199863703986902,231.59426,7.31158
1107082043943,53528.3179481598,20.088533,0.297306852627094,231.59504,7.31169
1107082043943,53537.2626737501,18.933374,0.171327588961255,231.5946,7.31163
1107082043943,53537.2706662733,19.493939,0.224616651402677,231.59487,7.3118
1107082043943,53537.2786850697,18.998234,0.176919906109571,231.59479,7.31154
1107082043943,53499.3171959259,19.268798,0.192836276583179,231.59468,7.31164
1107082043943,53499.3236465971,19.32549,0.197982166351526,231.59468,7.31158
1107082043943,53499.3300922802,19.367663,0.20222121265093,231.59485,7.31159
1107082043943,53499.33649978,19.320324,0.197578150218728,231.59496,7.31155
1107082043943,53509.1719702315,18.661816,0.149512818583539,231.59486,7.31171
1107082043943,53509.1783840973,19.440482,0.213765618710646,231.59469,7.31166
1107082043943,53509.1848088312,19.262357,0.195347296289021,231.59447,7.31178
1107082043943,53509.1912272107,19.223197,0.190644799289419,231.59512,7.31169
1107082043943,53520.3366003474,19.2454,0.199699741531444,231.59473,7.31177
1107082043943,53520.3430544906,18.90114,0.170651019280335,231.59492,7.31181
1107082043943,53520.3494736692,19.421093,0.230624191852057,231.59478,7.31142
1107082043943,53520.355922604,19.226756,0.202797318085623,231.5947,7.31152
1107082043943,53831.4090125812,21.136506,0.549101274891715,231.59453,7.31185
1107082043943,53831.4156366321,19.456685,0.219370950761257,231.59452,7.31174
1107082043943,53831.4221868403,20.321983,0.345624836746995,231.5946,7.31191
1107082043943,53831.4287435417,19.75646,0.254719715288809,231.59441,7.31164
1107082043943,53845.3934028009,19.486719,0.226232906300456,231.59495,7.31153
1107082043943,53845.4015306365,18.800105,0.163780847109582,231.59464,7.3114
1107082043943,53845.4096039468,18.894136,0.171095104006244,231.5949,7.31145
1107082043943,53845.417700185,19.6313,0.245932101657236,231.59481,7.31168
1107082043943,53745.4947622917,19.760008,0.257921359328015,231.59478,7.31178
1107082043943,53745.5007124767,19.386773,0.212683114335524,231.59464,7.31185
1107082043943,53745.5066577895,19.234978,0.196735481081639,231.59483,7.31176
1107082043943,53745.5126241781,19.543834,0.228157404600895,231.59464,7.31151
1107082043943,53904.296442361,19.688931,0.785220065865162,231.59442,7.31157
1107082043943,53799.4569443287,19.562576,0.250631367060688,231.59459,7.31178
1107082043943,53799.465572882,20.343683,0.358399645080505,231.59494,7.31162
1107082043943,53799.4742483101,20.157592,0.335971878482379,231.5947,7.31138
1107082043943,53818.4254769674,19.41008,0.215412999347024,231.59447,7.31164
1107082043943,53818.4326361227,19.253646,0.19584841212988,231.59462,7.31158
1107082043943,53818.4398045372,19.750561,0.255837905915413,231.5947,7.31162
1107082043943,53818.4469435415,19.091252,0.18307684528346,231.59475,7.31153
1107082043943,53857.3064851388,19.406266,0.235165338359202,231.59482,7.31166
1107082043943,53857.3152911342,19.031071,0.18388937407178,231.59499,7.31148
1107082043943,53857.324050243,19.180247,0.207975526057505,231.59498,7.31155
1107082043943,53857.332852419,19.558639,0.234126949785175,231.59503,7.31166
1107082043943,53876.3087145025,19.128933,0.192809707872746,231.59497,7.31164
1107082043943,53876.3172090277,19.958937,0.294878196427064,231.59476,7.31158
1107082043943,53876.3256743751,19.53813,0.237208543493004,231.59455,7.31101
1107082043943,53876.334137639,19.967856,0.298213753256509,231.59486,7.31157
1107082043943,53882.2263371642,19.527621,0.230110263465938,231.59481,7.31141
1107082043943,53882.234875903,20.189283,0.324437174799297,231.59469,7.31156
1107082043943,53882.2434595488,19.84717,0.27112664756531,231.59464,7.31157
1107082043943,53882.2519875118,19.834253,0.267968984895161,231.59482,7.31154
1107082043943,54201.4738794905,19.279881,0.197880909733122,231.59465,7.31161
1107082043943,54201.4799204166,19.321458,0.201881142889276,231.59496,7.31144
1107082043943,54201.4858508101,19.641223,0.236775216856821,231.59495,7.31178
1107082043943,54207.4319462036,19.4174,0.209432669424421,231.59468,7.31167
1107082043943,54207.4387233914,19.610806,0.230577321928059,231.59465,7.31145
1107082043943,54207.445395486,19.554024,0.224832967728005,231.59482,7.31157
1107082043943,54207.4521222105,19.715036,0.24379166467156,231.59486,7.31163
1107082043943,54213.4261244792,19.298098,0.202360866220729,231.59477,7.31165
1107082043943,54213.433936331,19.410344,0.214210955915836,231.59473,7.31148
1107082043943,54213.4417647221,20.16821,0.318099464073166,231.59487,7.31154
1107082043943,54213.4495924306,19.834271,0.267526770697181,231.59454,7.31153
1107082043943,54256.3376389928,19.492382,0.221551166509344,231.5947,7.31121
